drugbank_id,gene_symbol
DB00001,F2
DB00002,EGFR
DB00002,FCGR3B
DB00002,C1R
DB00002,C1QA
DB00002,C1QB
DB00002,C1QC
DB00002,FCGR3A
DB00002,C1S
DB00002,FCGR1A
DB00002,FCGR2A
DB00002,FCGR2B
DB00002,FCGR2C
DB00004,IL2RA
DB00004,IL2RB
DB00004,IL2RG
DB00005,TNF
DB00005,TNFRSF1B
DB00005,FCGR1A
DB00005,FCGR3A
DB00005,FCGR2A
DB00005,FCGR2B
DB00005,FCGR2C
DB00005,LTA
DB00005,FCGR3B
DB00005,C1S
DB00005,C1R
DB00005,C1QA
DB00005,C1QB
DB00005,C1QC
DB00005,PTGS2
DB00006,F2
DB00006,MPO
DB00007,GNRHR
DB00008,IFNAR2
DB00008,IFNAR1
DB00008,CYP1A2
DB00009,PLG
DB00009,FGA
DB00009,PLAUR
DB00009,SERPINE1
DB00010,GHRHR
DB00011,IFNAR2
DB00011,IFNAR1
DB00012,EPOR
DB00013,PLG
DB00013,PLAUR
DB00013,PLAU
DB00013,PLAT
DB00013,SERPINE1
DB00013,SERPINB2
DB00013,SERPINA5
DB00013,LRP2
DB00013,ST14
DB00013,NID1
DB00014,LHCGR
DB00014,GNRHR
DB00015,PLG
DB00015,FGA
DB00015,PLAUR
DB00015,SERPINE1
DB00016,EPOR
DB00017,CALCR
DB00018,IFNAR1
DB00018,IFNAR2
DB00019,CSF3R
DB00019,ELA2
DB00020,CSF2RA
DB00020,IL3RA
DB00020,CSF2RB
DB00020,SDC2
DB00020,PRG2
DB00021,SCTR
DB00022,IFNAR1
DB00022,IFNAR2
DB00022,CYP1A2
DB00022,CYP2D6
DB00024,TSHR
DB00025,F10
DB00025,F9
DB00025,VWF
DB00025,PHYH
DB00025,ASGR2
DB00025,HSPA5
DB00025,CALR
DB00025,CANX
DB00025,LMAN1
DB00025,LRP1
DB00025,MCFD2
DB00025,F2
DB00025,PROC
DB00026,IL1R1
DB00027,ABCB1
DB00028,FCGR1A
DB00028,FCGR2A
DB00028,FCGR2B
DB00028,FCGR2C
DB00028,FCGR3A
DB00028,FCGR3B
DB00028,C3
DB00028,C5
DB00029,PLG
DB00029,FGA
DB00029,PLAUR
DB00029,SERPINE1
DB00030,INSR
DB00030,IGF1R
DB00030,RB1
DB00030,CTSD
DB00030,IDE
DB00030,PCSK2
DB00030,CPE
DB00030,PCSK1
DB00030,NOV
DB00030,LRP2
DB00030,IGFBP7
DB00030,SYTL4
DB00030,CYP1A2
DB00031,PLG
DB00031,FGA
DB00031,PLAUR
DB00031,SERPINE1
DB00031,SERPINB2
DB00031,CLEC3B
