,geneNID,geneName
0,1,A1BG
1,2,A2M
2,3,A2MP1
3,4,NAT1
4,5,NAT2
5,6,SERPINA3
6,7,AADAC
7,8,AAMP
8,9,AANAT
9,10,AARS1
10,11,AAVS1
11,12,ABAT
12,13,ABCA1
13,14,ABCA2
14,15,ABCA3
15,16,ABCB7
16,17,ABCF1
17,18,ABCA4
18,19,ABL1
19,20,AOC1
20,21,ABL2
21,22,ABO
22,23,ABR
23,24,ACAA1
24,25,ACACA
25,26,ACACB
26,27,ACADL
27,28,ACADM
28,29,ACADS
29,30,ACADSB
30,31,ACADVL
31,32,ACAT1
32,33,ACAT2
33,34,ASIC2
34,35,ASIC1
35,36,ACHE
36,37,ACLS
37,38,ACLY
38,39,ACO1
39,40,ACR
40,41,ACO2
41,42,ACOX1
42,43,ACP1
43,44,ACP2
44,45,ACP5
45,46,ACP3
46,47,ACRV1
47,48,ACTA1
48,49,ACTA2
49,50,ACTB
50,51,ACTBP2
51,52,ACTC1
52,53,ACTG1
53,54,ACTG2
54,55,ACTN4
55,56,ACTL6A
56,57,ACTN1
57,58,ACTN2
58,59,ACTN3
59,60,ACVR1
60,61,ACVR1B
61,62,ACVR2A
62,63,ACVR2B
63,64,ACVRL1
64,65,ACY1
65,66,ACYP1
66,67,ACYP2
67,68,ADA
68,69,ADAM8
69,70,ADAM10
70,71,ADAR
71,72,ADARB1
72,73,ADARB2
73,74,ADCP1
74,75,ADCY1
75,76,ADCY2
76,77,ADCY3
77,78,ADCY5
78,79,ADCY6
79,80,ADCY7
80,81,ADCY8
81,82,ADCY9
82,83,ADCYAP1
83,84,ADCYAP1R1
84,85,ADD1
85,86,ADD2
86,87,ADD3
87,88,PLIN2
88,89,ADH1A
89,90,ADH1B
90,91,ADH1C
91,92,ADH4
92,93,ADH5
93,94,ADH6
94,95,ADH7
95,96,ADK
96,97,ADM
97,98,ADORA1
98,99,ADORA2A
99,100,ADORA2B
100,101,ADORA3
101,102,ADPRH
102,103,PARP1
103,104,PARP4
104,105,ADRA1D
105,106,ADRA1B
106,107,ADRA1A
107,108,ADRA2A
108,109,ADRA2B
109,110,ADRA2C
110,111,ADRB1
111,112,ADRB2
112,113,ADRB3
113,114,GRK2
114,115,GRK3
115,116,ADSL
116,117,ADSS2
117,118,AP2A1
118,119,AP2A2
119,120,AP1B1
120,121,AP2B1
121,122,AP1G1
122,123,AEBP1
123,124,TLE5
124,125,CRISP1
125,126,AFA
126,127,AFG3L1P
127,128,AFM
128,129,AFP
129,130,AGA
130,131,ACAN
131,132,AGER
132,133,AGL
133,134,AGRP
134,135,JAG1
135,136,AGT
136,137,AGTR1
137,138,AGTR2
138,139,APLNR
139,140,AGXT
140,141,NR0B1
141,142,AHCY
142,143,AIC
143,144,AHR
144,145,AHSG
145,146,AIF1
146,147,CRYBG1
147,148,AK1
148,149,AK2
149,150,AK4
150,151,AKT1
151,152,AKT2
152,153,ALAD
153,154,ALAS1
154,155,ALAS2
155,156,ALB
156,157,ALCAM
157,158,ABCD1
158,159,ALDH1A1
159,160,ALDH2
160,161,ALDH3A1
161,162,ALDH1B1
162,163,ALDH1A3
163,164,ALDH3B1
164,165,ALDH3B2
165,166,ALDH9A1
166,167,ALDH3A2
167,168,ABCD2
168,169,ALDOA
169,170,ALDOB
170,171,ALDOC
171,172,AKR1B1
172,173,AKR1B1P2
173,174,ALK
174,175,ALOX12
175,176,ALOX5
176,177,ALOX5AP
177,178,ALOX12B
178,179,ALOX12P1
179,180,ALOX12P2
180,181,ALOX15
181,182,ALOX15B
182,183,ALPI
183,184,ALPL
184,185,ALPP
185,186,ALPG
186,187,ALS3
187,188,ALX3
188,189,AMBN
189,190,AMBP
190,191,AMCN
191,192,AMD1
192,193,AMD1P2
193,194,AMELX
194,195,AMELY
195,196,AMFR
196,197,AMH
197,198,AMHR2
198,199,AMPD1
199,200,AMPD2
200,201,AMPD3
201,202,AMPH
202,203,BIN1
203,204,AMT
204,205,AMY1A
205,206,AMY1B
206,207,AMY1C
207,208,AMY2A
208,209,AMY2B
209,210,ANCR
210,211,ANG
211,212,ANGPT1
212,213,ANGPT2
213,214,ANK1
214,215,ANK2
215,216,ANK3
216,217,ANOP1
217,218,ANPEP
218,219,SLC25A4
219,220,SLC25A5
220,221,SLC25A6
221,222,ANXA1
222,223,ANXA2
223,224,ANXA2P2
224,225,ANXA2P3
225,226,ANXA3
226,227,ANXA4
227,228,ANXA5
228,229,ANXA6
229,230,ANXA7
230,231,ANXA11
231,232,ANXA13
232,233,AOAH
233,234,AOC2
234,235,AOX1
235,236,APAF1
236,237,NUDT2
237,238,APOF
238,239,APBA1
239,240,APBA2
240,241,APBB1
241,242,APBB2
242,243,APC
243,244,APCS
244,245,AIRE
245,246,APEH
246,247,APEX1
247,248,BIRC2
248,249,BIRC3
249,250,XIAP
250,251,BIRC5
251,252,APLP1
252,253,APLP2
253,254,APOA1
254,255,APOA2
255,256,APOA4
256,257,APOB
257,258,APOBEC1
258,259,APOC1
259,260,APOC1P1
