,diseaseNID,diseaseName
0,1,"Abdomen, Acute"
1,2,Abdominal Cramps
2,3,Abdomen distended
3,4,Abdominal mass
4,5,Abdominal Neoplasms
5,6,Abdominal Pain
6,7,Abetalipoproteinemia
7,8,Congenital Abnormality
8,9,"Abnormalities, Drug-Induced"
9,10,Multiple congenital anomalies
10,11,Spontaneous abortion
11,12,"Abortion, Habitual"
12,13,Threatened abortion
13,14,"Abortion, Tubal"
14,15,Abruptio Placentae
15,16,Abscess
16,17,Agenesis
17,18,Acanthamoeba Keratitis
18,19,Acantholysis
19,20,Acanthosis Nigricans
20,21,Accidental Falls
21,22,Achlorhydria
22,23,Achondrogenesis
23,24,Achondroplasia
24,25,Acidosis
25,26,"Acidosis, Lactic"
26,27,Renal tubular acidosis
27,28,"Acidosis, Respiratory"
28,29,Acinetobacter Infections
29,30,Acne Vulgaris
30,31,Acne Keloid
31,32,Acquired Immunodeficiency Syndrome
32,33,Apert syndrome
33,34,Acrodermatitis
34,35,Acrokeratosis
35,36,Acromegaly
36,37,"ACTH Syndrome, Ectopic"
37,38,Actinobacillus Infections
38,39,Actinomycosis
39,40,Acute alcoholic liver disease
40,41,Acute and subacute liver necrosis (disorder)
41,42,Acute bronchiolitis
42,43,Herpetic Acute Necrotizing Encephalitis
43,44,Acute pancreatitis
44,45,Acute periodontitis
45,46,Acute pharyngitis
46,47,Acute-Phase Reaction
47,48,Acute tonsillitis
48,49,Acute vascular insufficiency of intestine (disorder)
49,50,Massive Hepatic Necrosis
50,51,Addison Disease
51,52,Adenitis
52,53,Adenocarcinoma
53,54,Papillary adenocarcinoma
54,55,Adenofibroma
55,56,Adenolymphoma
56,57,Adenoma
57,58,"Adenoma, Chromophobe"
58,59,"Adenoma, Acidophil"
59,60,Adenosarcoma
60,61,Adenovirus Infections
61,62,Postoperative adhesion
62,63,Tissue Adhesions
63,64,Adiposis Dolorosa
64,65,Adjustment disorder with depressed mood
65,66,Adjustment Disorders
66,67,Adnexal Diseases
67,68,Adrenal Cortex Diseases
68,69,Tumors of Adrenal Cortex
69,70,Adrenal Gland Diseases
70,71,Adrenal Gland Hyperfunction
71,72,Adrenal gland hypofunction
72,73,Adrenal Gland Neoplasms
73,74,Congenital adrenal hyperplasia
74,75,Adrenal Rest Tumor
75,76,Adult Antisocial Behavior
76,77,"Affective Disorders, Psychotic"
77,78,Affective Symptoms
78,79,Afibrinogenemia
79,80,African swine fever
80,81,Agammaglobulinemia
81,82,"Osteoporosis, Age-Related"
82,83,Aggressive behavior
83,84,Aging
84,85,Primary Myelofibrosis
85,86,Agnosia
86,87,Agoraphobia
87,88,Agranulocytosis
88,89,Agraphia
89,90,Agricultural Workers' Diseases
90,91,AIDS Dementia Complex
91,92,AIDS related complex
92,93,Airway Obstruction
93,94,Akinetic Mutism
94,95,Akinetic Petit Mal
95,96,Albinism
96,97,Albuminuria
97,98,Alcohol consumption
98,99,Alcohol Use Disorder
99,100,Alcohol Withdrawal Delirium
100,101,Alcoholic Intoxication
101,102,"Alcoholic Intoxication, Chronic"
102,103,Aleutian Mink Disease
103,104,Alexia
104,105,Alexithymia
105,106,Alkalosis
106,107,"Alkalosis, Respiratory"
107,108,Alkaptonuria
108,109,Atopic rhinitis
109,110,Allogenic disease
110,111,Alloxan Diabetes
111,112,Alopecia
112,113,Alopecia Areata
113,114,alpha-Thalassemia
114,115,Altitude Sickness
115,116,Alveolar Bone Loss
116,117,Extrinsic allergic alveolitis
117,118,Alzheimer's Disease
118,119,Amblyopia
119,120,Amebiasis
120,121,Amelia
121,122,Ameloblastoma
122,123,Amelogenesis Imperfecta
