drugbank_id,disease
DB00001,heparin-induced thrombocytopenia
DB00002,colorectal carcinoma
DB00003,fibrosis
DB00004,cutaneous t-cell lymphoma
DB00005,arthritis
DB00005,rheumatoid arthritis
DB00005,spondylitis
DB00005,psoriasis
DB00005,idiopathic arthritis
DB00006,unstable angina
DB00006,thrombosis
DB00006,acute coronary syndromes
DB00006,heparin-induced thrombocytopenia
DB00007,premature puberty
DB00007,prostate cancer
DB00007,uterine fibroids
DB00007,endometriosis
DB00008,chronic hepatitis b infection
DB00008,liver disease
DB00008,hcv
DB00008,liver inflammation
DB00009,acute ischemic strok
DB00009,acute myocardial infarction
DB00009,acute pulmonary emboli
DB00010,weight loss
DB00010,dwarfism
DB00011,papiloma virus
DB00012,anemia
DB00013,pulminary embolism
DB00013,venous and arterial blood clots
DB00013,coronary artery thrombosis
DB00014,gynaecological disorders
DB00014,prostate
DB00014,uterine fibroids
DB00014,hormone-sensitive cancers of the breast
DB00014,endometrial thinning
DB00014,endometriosis
DB00015,myocardial infarction
DB00015,acute pulmonary emboli
DB00016,multiple myeloma
DB00016,malignant lymphoma
DB00016,chronic renal failure
DB00016,tumours
DB00016,anaemia
DB00016,crf
DB00017,post-menopausal osteoporosis
DB00017,paget's disease
DB00017,azotemia
DB00017,hypercalcemia
DB00018,external condylomata acuminata
DB00019,neutropenia
DB00019,non-myeloid cancer
DB00019,bone marrow transplant
DB00020,cancer
DB00020,bone marrow transplant
DB00021,pancreatic exocrine dysfunction
DB00021,gastrinoma
DB00022,hcv
DB00023,non-hodgkins lymphoma
DB00023,acute lympocytic leukemia
DB00024,thyroid cancer
DB00025,willebrand disease
DB00025,hemophilia a
DB00026,rheumatoid arthritis
DB00026,nomid
DB00026,neonatal-onset multisystem inflammatory disease
DB00027,skin lesions
DB00028,inflammatory skin diseases
DB00028,b cell chronic lymphocytic leukemia
DB00028,guillain-barré syndrome
DB00028,hypogammaglobulinemia
DB00028,wiskott–aldrich syndrome
DB00028,idiopathic thrombocytopenic purpura
DB00028,autoimmune and inflammatory disorders
DB00028,kawasaki disease
DB00028,chronic inflammatory demyelinating polyneuropathy
DB00028,myesthenia gravis
DB00028,multiple sclerosis
DB00028,cidp
DB00028,rheumatoid arthritis
DB00028,immunodeficiencies
DB00028,bone marrow transplant complications
DB00029,myocardial infarction
DB00029,acute pulmonary emboli
DB00030,diabetes mellitus
DB00031,myocardial infarction
DB00032,infertility
DB00033,osteopetrosis
DB00033,granulomatous disease
DB00034,hiv infection
DB00034,chronic myelogenous leukemia
DB00034,aids-related kaposi's sarcoma
DB00034,chronic hepatitis c
DB00034,hairy cell leukemia
DB00035,hematoma
DB00035,hemarthrosis
DB00035,uremia
DB00035,mucosal bleeding
DB00035,polydipsia
DB00035,hemophilia a
DB00035,diabetes insipidus
DB00035,polyuria
DB00035,primary nocturnal enuresis
DB00035,willebrand's disease type i.
DB00035,bleeding
DB00035,head trauma
DB00036,hemorrhagic complications
DB00036,hemophilia a
DB00039,mucositis
DB00040,hypoglycemia
DB00041,renal cell carcinoma
DB00042,dystonia
DB00042,neck pain
DB00043,allergies
DB00044,pituitary insufficiency
DB00044,hypogonadotropic hypogonadism
DB00044,infertility
DB00045,lyme disease
DB00046,diabetes mellitus
DB00047,hyperglycemia
DB00047,diabetes mellitus
DB00048,burns
DB00048,ulcers
DB00048,necrotic
DB00049,hyperuricemia
DB00050,ovarian stimulation
DB00050,premature lh surges
DB00051,spondylitis
DB00051,rheumatoid arthritis
DB00051,crohn's disease
DB00051,arthritis
DB00052,acromegaly
DB00052,weight loss
DB00052,dwarfism
DB00053,gaucher's disease
DB00054,unstable angina
DB00054,cardiac ischemic
DB00055,sepsis
DB00056,cd33-positive aml
DB00056,acute myeloid leukemia
DB00057,extrahepatic malignant cancers
DB00058,emphysema
DB00059,acute lymphoblastic leukemia
DB00060,multiple sclerosis
DB00060,condyloma acuminatum
DB00062,blood loss
DB00062,hypoproteinemia
DB00062,hypervolemia
DB00063,acute coronary syndrome
DB00063,myocardial infarction
DB00065,arthritis
DB00065,fistulizing
DB00065,fistulas
DB00065,fistula
DB00065,ulcerative colitis
DB00065,structural damage
DB00065,psoriasis
