node1,node2,neighborhood_on_chromosome,gene_fusion,phylogenetic_cooccurrence,homology,coexpression,experimentally_determined_interaction,database_annotated,automated_textmining,combined_score
A2M,CPB2,0.0,0.0,0.0,0.0,0.159,0.27,0.0,0.458,0.638
A2M,APOH,0.0,0.0,0.0,0.0,0.141,0.0,0.0,0.519,0.569
A2M,SERPIND1,0.0,0.0,0.0,0.0,0.101,0.0,0.0,0.587,0.612
A2M,MIF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.459,0.459
A2M,CTSG,0.0,0.0,0.0,0.0,0.0,0.351,0.0,0.607,0.734
A2M,F9,0.0,0.0,0.0,0.0,0.126,0.134,0.0,0.35,0.465
A2M,MMP2,0.0,0.0,0.0,0.0,0.133,0.632,0.6,0.57,0.937
A2M,PLAT,0.0,0.0,0.0,0.0,0.076,0.134,0.0,0.561,0.618
A2M,TGFB1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.752,0.752
A2M,SERPINE1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.718,0.718
A2M,MPO,0.0,0.0,0.0,0.0,0.0,0.282,0.0,0.359,0.52
A2M,CCL2,0.0,0.0,0.0,0.0,0.111,0.0,0.0,0.359,0.405
A2M,VTN,0.0,0.0,0.0,0.0,0.111,0.0,0.0,0.503,0.539
A2M,IL2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.471,0.471
A2M,GAPDH,0.0,0.0,0.0,0.0,0.0,0.282,0.0,0.301,0.476
A2M,PROC,0.0,0.0,0.0,0.0,0.164,0.134,0.8,0.217,0.871
A2M,PRTN3,0.0,0.0,0.0,0.0,0.049,0.351,0.0,0.261,0.504
A2M,CTSD,0.0,0.0,0.0,0.0,0.081,0.0,0.0,0.418,0.442
A2M,MMP8,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.345,0.727
A2M,APOA1,0.0,0.0,0.0,0.0,0.102,0.0,0.9,0.73,0.973
A2M,TTR,0.0,0.0,0.0,0.0,0.163,0.046,0.0,0.71,0.748
A2M,LRP1,0.0,0.0,0.0,0.0,0.174,0.709,0.0,0.989,0.997
A2M,CMA1,0.0,0.0,0.0,0.0,0.0,0.134,0.0,0.893,0.903
A2M,APOE,0.0,0.0,0.0,0.0,0.158,0.27,0.0,0.785,0.856
A2M,CRP,0.0,0.0,0.0,0.0,0.063,0.0,0.0,0.663,0.67
A2M,APCS,0.0,0.0,0.0,0.0,0.082,0.0,0.0,0.473,0.495
A2M,ORM1,0.0,0.0,0.0,0.0,0.121,0.0,0.0,0.634,0.665
A2M,MMP13,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.453,0.772
A2M,VWF,0.0,0.0,0.0,0.0,0.213,0.0,0.0,0.53,0.615
A2M,IL1B,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.927,0.969
A2M,LRP2,0.0,0.0,0.0,0.0,0.08,0.139,0.0,0.402,0.485
A2M,CP,0.0,0.0,0.0,0.0,0.121,0.0,0.0,0.788,0.806
A2M,KLKB1,0.0,0.0,0.0,0.0,0.111,0.134,0.6,0.933,0.976
A2M,KNG1,0.0,0.0,0.0,0.0,0.066,0.065,0.3,0.608,0.728
A2M,AMBP,0.0,0.0,0.0,0.0,0.111,0.678,0.0,0.535,0.855
A2M,IDE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.414,0.414
A2M,TIMP3,0.0,0.0,0.0,0.0,0.164,0.0,0.0,0.352,0.435
A2M,REN,0.0,0.0,0.0,0.0,0.062,0.0,0.0,0.687,0.694
A2M,SERPING1,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.716,0.746
A2M,APP,0.0,0.0,0.0,0.0,0.123,0.27,0.0,0.751,0.826
A2M,ACE,0.0,0.0,0.0,0.0,0.076,0.0,0.0,0.391,0.413
A2M,AZGP1,0.0,0.0,0.0,0.0,0.132,0.0,0.0,0.409,0.465
A2M,VCAM1,0.0,0.0,0.0,0.0,0.152,0.0,0.0,0.328,0.406
A2M,ALB,0.0,0.0,0.0,0.0,0.121,0.152,0.0,0.92,0.935
A2M,HSP90B1,0.0,0.0,0.0,0.0,0.062,0.0,0.0,0.434,0.446
A2M,MMP3,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.431,0.763
A2M,KLK1,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.355,0.556
A2M,RNASE3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.524,0.524
A2M,IGF1,0.0,0.0,0.0,0.0,0.062,0.0,0.0,0.463,0.474
A2M,FGB,0.0,0.0,0.0,0.0,0.169,0.0,0.0,0.422,0.499
A2M,FGA,0.0,0.0,0.0,0.0,0.186,0.0,0.0,0.467,0.548
A2M,F2,0.0,0.0,0.0,0.0,0.135,0.134,0.0,0.783,0.824
A2M,PRSS1,0.0,0.0,0.0,0.0,0.0,0.134,0.0,0.441,0.495
A2M,PLG,0.0,0.0,0.0,0.0,0.108,0.213,0.0,0.827,0.868
A2M,C1QB,0.0,0.0,0.0,0.0,0.282,0.0,0.0,0.231,0.424
A2M,LPA,0.0,0.0,0.0,0.0,0.108,0.213,0.0,0.327,0.486
A2M,SERPINF2,0.0,0.0,0.0,0.0,0.139,0.0,0.0,0.76,0.784
A2M,MMP1,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.721,0.883
A2M,ELN,0.0,0.0,0.0,0.0,0.077,0.0,0.0,0.391,0.413
A2M,SERPINA7,0.0,0.0,0.0,0.0,0.111,0.0,0.0,0.368,0.414
A2M,RBP4,0.0,0.0,0.0,0.0,0.134,0.0,0.0,0.37,0.431
