#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
A2M	CPB2	9606.ENSP00000323929	9606.ENSP00000181383	0	0	0	0	0.159	0.270	0	0.458	0.638
A2M	APOH	9606.ENSP00000323929	9606.ENSP00000205948	0	0	0	0	0.141	0	0	0.519	0.569
A2M	SERPIND1	9606.ENSP00000323929	9606.ENSP00000215727	0	0	0	0	0.101	0	0	0.587	0.612
A2M	MIF	9606.ENSP00000323929	9606.ENSP00000215754	0	0	0	0	0	0	0	0.459	0.459
A2M	CTSG	9606.ENSP00000323929	9606.ENSP00000216336	0	0	0	0	0	0.351	0	0.607	0.734
A2M	F9	9606.ENSP00000323929	9606.ENSP00000218099	0	0	0	0	0.126	0.134	0	0.350	0.465
A2M	MMP2	9606.ENSP00000323929	9606.ENSP00000219070	0	0	0	0	0.133	0.632	0.600	0.570	0.937
A2M	PLAT	9606.ENSP00000323929	9606.ENSP00000220809	0	0	0	0	0.076	0.134	0	0.561	0.618
A2M	TGFB1	9606.ENSP00000323929	9606.ENSP00000221930	0	0	0	0	0	0	0	0.752	0.752
A2M	SERPINE1	9606.ENSP00000323929	9606.ENSP00000223095	0	0	0	0	0	0	0	0.718	0.718
A2M	MPO	9606.ENSP00000323929	9606.ENSP00000225275	0	0	0	0	0	0.282	0	0.359	0.520
A2M	CCL2	9606.ENSP00000323929	9606.ENSP00000225831	0	0	0	0	0.111	0	0	0.359	0.405
A2M	VTN	9606.ENSP00000323929	9606.ENSP00000226218	0	0	0	0	0.111	0	0	0.503	0.539
A2M	IL2	9606.ENSP00000323929	9606.ENSP00000226730	0	0	0	0	0	0	0	0.471	0.471
A2M	GAPDH	9606.ENSP00000323929	9606.ENSP00000229239	0	0	0	0	0	0.282	0	0.301	0.476
A2M	PROC	9606.ENSP00000323929	9606.ENSP00000234071	0	0	0	0	0.164	0.134	0.800	0.217	0.871
A2M	PRTN3	9606.ENSP00000323929	9606.ENSP00000234347	0	0	0	0	0.049	0.351	0	0.261	0.504
A2M	CTSD	9606.ENSP00000323929	9606.ENSP00000236671	0	0	0	0	0.081	0	0	0.418	0.442
A2M	MMP8	9606.ENSP00000323929	9606.ENSP00000236826	0	0	0	0	0	0	0.600	0.345	0.727
A2M	APOA1	9606.ENSP00000323929	9606.ENSP00000236850	0	0	0	0	0.102	0	0.900	0.730	0.973
A2M	TTR	9606.ENSP00000323929	9606.ENSP00000237014	0	0	0	0	0.163	0.046	0	0.710	0.748
A2M	LRP1	9606.ENSP00000323929	9606.ENSP00000243077	0	0	0	0	0.174	0.709	0	0.989	0.997
A2M	CMA1	9606.ENSP00000323929	9606.ENSP00000250378	0	0	0	0	0	0.134	0	0.893	0.903
A2M	APOE	9606.ENSP00000323929	9606.ENSP00000252486	0	0	0	0	0.158	0.270	0	0.785	0.856
A2M	CRP	9606.ENSP00000323929	9606.ENSP00000255030	0	0	0	0	0.063	0	0	0.663	0.670
A2M	APCS	9606.ENSP00000323929	9606.ENSP00000255040	0	0	0	0	0.082	0	0	0.473	0.495
A2M	ORM1	9606.ENSP00000323929	9606.ENSP00000259396	0	0	0	0	0.121	0	0	0.634	0.665
A2M	MMP13	9606.ENSP00000323929	9606.ENSP00000260302	0	0	0	0	0	0	0.600	0.453	0.772
A2M	VWF	9606.ENSP00000323929	9606.ENSP00000261405	0	0	0	0	0.213	0	0	0.530	0.615
A2M	IL1B	9606.ENSP00000323929	9606.ENSP00000263341	0	0	0	0	0	0.600	0	0.927	0.969
A2M	LRP2	9606.ENSP00000323929	9606.ENSP00000263816	0	0	0	0	0.080	0.139	0	0.402	0.485
A2M	CP	9606.ENSP00000323929	9606.ENSP00000264613	0	0	0	0	0.121	0	0	0.788	0.806
A2M	KLKB1	9606.ENSP00000323929	9606.ENSP00000264690	0	0	0	0	0.111	0.134	0.600	0.933	0.976
A2M	KNG1	9606.ENSP00000323929	9606.ENSP00000265023	0	0	0	0	0.066	0.065	0.300	0.608	0.728
A2M	AMBP	9606.ENSP00000323929	9606.ENSP00000265132	0	0	0	0	0.111	0.678	0	0.535	0.855
A2M	IDE	9606.ENSP00000323929	9606.ENSP00000265986	0	0	0	0	0	0	0	0.414	0.414
A2M	TIMP3	9606.ENSP00000323929	9606.ENSP00000266085	0	0	0	0	0.164	0	0	0.352	0.435
A2M	REN	9606.ENSP00000323929	9606.ENSP00000272190	0	0	0	0	0.062	0	0	0.687	0.694
A2M	SERPING1	9606.ENSP00000323929	9606.ENSP00000278407	0	0	0	0	0.140	0	0	0.716	0.746
A2M	APP	9606.ENSP00000323929	9606.ENSP00000284981	0	0	0	0	0.123	0.270	0	0.751	0.826
A2M	ACE	9606.ENSP00000323929	9606.ENSP00000290866	0	0	0	0	0.076	0	0	0.391	0.413
A2M	AZGP1	9606.ENSP00000323929	9606.ENSP00000292401	0	0	0	0	0.132	0	0	0.409	0.465
A2M	VCAM1	9606.ENSP00000323929	9606.ENSP00000294728	0	0	0	0	0.152	0	0	0.328	0.406
A2M	ALB	9606.ENSP00000323929	9606.ENSP00000295897	0	0	0	0	0.121	0.152	0	0.920	0.935
A2M	HSP90B1	9606.ENSP00000323929	9606.ENSP00000299767	0	0	0	0	0.062	0	0	0.434	0.446
A2M	MMP3	9606.ENSP00000323929	9606.ENSP00000299855	0	0	0	0	0	0	0.600	0.431	0.763
A2M	KLK1	9606.ENSP00000323929	9606.ENSP00000301420	0	0	0	0	0	0.340	0	0.355	0.556
A2M	RNASE3	9606.ENSP00000323929	9606.ENSP00000302324	0	0	0	0	0	0	0	0.524	0.524
A2M	IGF1	9606.ENSP00000323929	9606.ENSP00000302665	0	0	0	0	0.062	0	0	0.463	0.474
A2M	FGB	9606.ENSP00000323929	9606.ENSP00000306099	0	0	0	0	0.169	0	0	0.422	0.499
A2M	FGA	9606.ENSP00000323929	9606.ENSP00000306361	0	0	0	0	0.186	0	0	0.467	0.548
A2M	F2	9606.ENSP00000323929	9606.ENSP00000308541	0	0	0	0	0.135	0.134	0	0.783	0.824
A2M	PRSS1	9606.ENSP00000323929	9606.ENSP00000308720	0	0	0	0	0	0.134	0	0.441	0.495
A2M	PLG	9606.ENSP00000323929	9606.ENSP00000308938	0	0	0	0	0.108	0.213	0	0.827	0.868
A2M	C1QB	9606.ENSP00000323929	9606.ENSP00000313967	0	0	0	0	0.282	0	0	0.231	0.424
A2M	LPA	9606.ENSP00000323929	9606.ENSP00000321334	0	0	0	0	0.108	0.213	0	0.327	0.486
A2M	SERPINF2	9606.ENSP00000323929	9606.ENSP00000321853	0	0	0	0	0.139	0	0	0.760	0.784
A2M	MMP1	9606.ENSP00000323929	9606.ENSP00000322788	0	0	0	0	0	0	0.600	0.721	0.883
A2M	ELN	9606.ENSP00000323929	9606.ENSP00000351807	0	0	0	0	0.077	0	0	0.391	0.413
A2M	SERPINA7	9606.ENSP00000323929	9606.ENSP00000329374	0	0	0	0	0.111	0	0	0.368	0.414
A2M	RBP4	9606.ENSP00000323929	9606.ENSP00000360522	0	0	0	0	0.134	0	0	0.370	0.431
A2M	F10	9606.ENSP00000323929	9606.ENSP00000364709	0	0	0	0	0.097	0.134	0	0.341	0.439
A2M	MAPT	9606.ENSP00000323929	9606.ENSP00000340820	0	0	0	0	0	0.270	0	0.281	0.452
A2M	GPT	9606.ENSP00000323929	9606.ENSP00000378408	0	0	0	0	0.091	0	0	0.423	0.453
A2M	SAA1	9606.ENSP00000323929	9606.ENSP00000384906	0	0	0	0	0.049	0	0	0.457	0.461
A2M	CD2	9606.ENSP00000323929	9606.ENSP00000358490	0	0	0	0	0	0	0	0.463	0.464
A2M	PLAUR	9606.ENSP00000323929	9606.ENSP00000339328	0	0	0	0	0	0	0	0.487	0.487
A2M	CTSL	9606.ENSP00000323929	9606.ENSP00000345344	0	0	0	0	0.087	0	0	0.469	0.495
A2M	F11	9606.ENSP00000323929	9606.ENSP00000384957	0	0	0	0	0.143	0.134	0	0.381	0.500
